Catalog#,Artist,Title,Label,Format,Rating,Released,release_id,CollectionFolder,Date Added,Collection Media Condition,Collection Sleeve Condition,Collection Notes
FC 37199,Bill Withers,Bill Withers' Greatest Hits,Columbia,"LP, Comp, Ter",,1981,558821,Home_Collection_IH,2023-11-19 08:47:15,Near Mint (NM or M-),Near Mint (NM or M-),Bought for 20$ at Good Records
KCS 9529,Simon & Garfunkel,Bookends,Columbia,"LP, Album",,1968,2648299,Home_Collection_IH,2023-08-18 00:44:21,Very Good Plus (VG+),Very Good Plus (VG+),
PC 34917,Jane Olivor,Chasing Rainbows,Columbia,"LP, Album",,1977,2640106,Home_Collection_IH,2023-08-18 00:51:56,Near Mint (NM or M-),Near Mint (NM or M-),
"PC 35305, 35305",Willie Nelson,Stardust,"Columbia, Columbia","LP, Album",,1978,2305137,Home_Collection_IH,2023-08-18 00:49:42,Near Mint (NM or M-),Near Mint (NM or M-),
"87935-1, 4980271000, MOVLP220",DJ Krush,漸 -Zen-,"Columbia, Columbia, Music On Vinyl","2xLP, Album, RE, 180",,2010,2624156,Home_Collection_IH,2023-08-11 10:32:02,Mint (M),Mint (M),
88697680571,Miles Davis,Kind Of Blue,"Columbia, Legacy","LP, Album, RE, RM, 180",,2010,15713868,Home_Collection_IH,2023-08-17 14:47:05,Mint (M),Mint (M),
ZS8 4769,People's Choice,Do It Any Way You Wanna / The Big Hurt,"Columbia, TSOP","7"", Single",,1975,16889139,Home_Collection_IH,2023-08-17 15:41:12,Mint (M),Generic,
COMPOST 128-1,Voom:Voom,Baby³,Compost Records,"12""",,2003,137344,Home_Collection_IH,2023-08-17 14:09:17,Mint (M),Near Mint (NM or M-),
CON019,Mr. Supreme,Run The Show / Livin' My Life,Conception Records,"12""",,2000,663809,Home_Collection_IH,2023-08-13 14:13:09,Mint (M),Very Good Plus (VG+),
CRM22,Cosmic Garden,Come With Me,Cosmic Rhythm,"12""",,2022,24449522,Home_Collection_IH,2023-08-17 14:28:16,Mint (M),Generic,
CRYO 26,Various,The Blurry Times Blur LInes,Cryovac Recordings,"12""",,2022,22399552,Home_Collection_IH,2023-08-17 14:05:12,Mint (M),Mint (M),
"DJ890, DJ 890",K. Joy,Like This,"D.J. International Records, D.J. International Records","12""",,1985,846592,Home_Collection_IH,2023-08-17 14:57:24,Mint (M),Generic,
DOC193,Khruangbin,Mordechai,"Dead Oceans, Night Time Stories","LP, Album, Pre",,2020,23649158,Home_Collection_IH,2023-11-19 08:40:15,Mint (M),Mint (M),Bought for 25$ in Good Records
Delft 007,Cause And Effect Men,Schwarzgerät,Delft,"12""",,2015,6665242,Home_Collection_IH,2023-08-17 13:52:08,Mint (M),Mint (M),
